# Customer personas — assegnazione dei POD,,
# Ogni riga rappresenta un POD del campione rappresentativo di 1.000 clienti. Le personas derivano dal modello K-means A_behavioral con K=5. Le denominazioni descrivono il comportamento medio del cluster e non la tipologia contrattuale del cliente.,,
pod,cluster,persona
1,5,Basso consumo e attività intermittente
2,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
3,3,"Alto consumo, carico di base continuo e forte picco serale"
4,1,"Consumo medio, regolare e con picco serale"
5,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
6,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
7,3,"Alto consumo, carico di base continuo e forte picco serale"
8,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
9,3,"Alto consumo, carico di base continuo e forte picco serale"
10,1,"Consumo medio, regolare e con picco serale"
11,1,"Consumo medio, regolare e con picco serale"
12,1,"Consumo medio, regolare e con picco serale"
13,1,"Consumo medio, regolare e con picco serale"
14,1,"Consumo medio, regolare e con picco serale"
15,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
16,3,"Alto consumo, carico di base continuo e forte picco serale"
17,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
18,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
19,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
20,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
21,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
22,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
23,1,"Consumo medio, regolare e con picco serale"
24,5,Basso consumo e attività intermittente
25,1,"Consumo medio, regolare e con picco serale"
26,1,"Consumo medio, regolare e con picco serale"
27,5,Basso consumo e attività intermittente
28,1,"Consumo medio, regolare e con picco serale"
29,1,"Consumo medio, regolare e con picco serale"
30,1,"Consumo medio, regolare e con picco serale"
31,1,"Consumo medio, regolare e con picco serale"
32,1,"Consumo medio, regolare e con picco serale"
33,1,"Consumo medio, regolare e con picco serale"
34,1,"Consumo medio, regolare e con picco serale"
35,1,"Consumo medio, regolare e con picco serale"
36,1,"Consumo medio, regolare e con picco serale"
37,1,"Consumo medio, regolare e con picco serale"
38,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
39,1,"Consumo medio, regolare e con picco serale"
40,1,"Consumo medio, regolare e con picco serale"
41,3,"Alto consumo, carico di base continuo e forte picco serale"
42,1,"Consumo medio, regolare e con picco serale"
43,1,"Consumo medio, regolare e con picco serale"
44,1,"Consumo medio, regolare e con picco serale"
45,1,"Consumo medio, regolare e con picco serale"
46,1,"Consumo medio, regolare e con picco serale"
47,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
48,1,"Consumo medio, regolare e con picco serale"
49,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
50,1,"Consumo medio, regolare e con picco serale"
51,5,Basso consumo e attività intermittente
52,3,"Alto consumo, carico di base continuo e forte picco serale"
53,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
54,1,"Consumo medio, regolare e con picco serale"
55,1,"Consumo medio, regolare e con picco serale"
56,1,"Consumo medio, regolare e con picco serale"
57,1,"Consumo medio, regolare e con picco serale"
58,5,Basso consumo e attività intermittente
59,1,"Consumo medio, regolare e con picco serale"
60,1,"Consumo medio, regolare e con picco serale"
61,1,"Consumo medio, regolare e con picco serale"
62,1,"Consumo medio, regolare e con picco serale"
63,1,"Consumo medio, regolare e con picco serale"
64,1,"Consumo medio, regolare e con picco serale"
65,1,"Consumo medio, regolare e con picco serale"
66,5,Basso consumo e attività intermittente
67,1,"Consumo medio, regolare e con picco serale"
68,5,Basso consumo e attività intermittente
69,1,"Consumo medio, regolare e con picco serale"
70,1,"Consumo medio, regolare e con picco serale"
71,1,"Consumo medio, regolare e con picco serale"
72,1,"Consumo medio, regolare e con picco serale"
73,1,"Consumo medio, regolare e con picco serale"
74,1,"Consumo medio, regolare e con picco serale"
75,1,"Consumo medio, regolare e con picco serale"
76,1,"Consumo medio, regolare e con picco serale"
77,1,"Consumo medio, regolare e con picco serale"
78,1,"Consumo medio, regolare e con picco serale"
79,1,"Consumo medio, regolare e con picco serale"
80,3,"Alto consumo, carico di base continuo e forte picco serale"
81,1,"Consumo medio, regolare e con picco serale"
82,1,"Consumo medio, regolare e con picco serale"
83,1,"Consumo medio, regolare e con picco serale"
84,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
85,1,"Consumo medio, regolare e con picco serale"
86,1,"Consumo medio, regolare e con picco serale"
87,3,"Alto consumo, carico di base continuo e forte picco serale"
88,1,"Consumo medio, regolare e con picco serale"
89,1,"Consumo medio, regolare e con picco serale"
90,5,Basso consumo e attività intermittente
91,1,"Consumo medio, regolare e con picco serale"
92,1,"Consumo medio, regolare e con picco serale"
93,1,"Consumo medio, regolare e con picco serale"
94,1,"Consumo medio, regolare e con picco serale"
95,1,"Consumo medio, regolare e con picco serale"
96,1,"Consumo medio, regolare e con picco serale"
97,1,"Consumo medio, regolare e con picco serale"
98,1,"Consumo medio, regolare e con picco serale"
99,1,"Consumo medio, regolare e con picco serale"
100,1,"Consumo medio, regolare e con picco serale"
101,1,"Consumo medio, regolare e con picco serale"
102,1,"Consumo medio, regolare e con picco serale"
103,1,"Consumo medio, regolare e con picco serale"
104,1,"Consumo medio, regolare e con picco serale"
105,1,"Consumo medio, regolare e con picco serale"
106,1,"Consumo medio, regolare e con picco serale"
107,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
108,1,"Consumo medio, regolare e con picco serale"
109,1,"Consumo medio, regolare e con picco serale"
110,1,"Consumo medio, regolare e con picco serale"
111,1,"Consumo medio, regolare e con picco serale"
112,1,"Consumo medio, regolare e con picco serale"
113,1,"Consumo medio, regolare e con picco serale"
114,1,"Consumo medio, regolare e con picco serale"
115,1,"Consumo medio, regolare e con picco serale"
116,1,"Consumo medio, regolare e con picco serale"
117,1,"Consumo medio, regolare e con picco serale"
118,1,"Consumo medio, regolare e con picco serale"
119,1,"Consumo medio, regolare e con picco serale"
120,1,"Consumo medio, regolare e con picco serale"
121,1,"Consumo medio, regolare e con picco serale"
122,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
123,5,Basso consumo e attività intermittente
124,1,"Consumo medio, regolare e con picco serale"
125,1,"Consumo medio, regolare e con picco serale"
126,1,"Consumo medio, regolare e con picco serale"
127,1,"Consumo medio, regolare e con picco serale"
128,1,"Consumo medio, regolare e con picco serale"
129,5,Basso consumo e attività intermittente
130,1,"Consumo medio, regolare e con picco serale"
131,1,"Consumo medio, regolare e con picco serale"
132,5,Basso consumo e attività intermittente
133,5,Basso consumo e attività intermittente
134,1,"Consumo medio, regolare e con picco serale"
135,1,"Consumo medio, regolare e con picco serale"
136,1,"Consumo medio, regolare e con picco serale"
137,1,"Consumo medio, regolare e con picco serale"
138,1,"Consumo medio, regolare e con picco serale"
139,1,"Consumo medio, regolare e con picco serale"
140,1,"Consumo medio, regolare e con picco serale"
141,1,"Consumo medio, regolare e con picco serale"
142,1,"Consumo medio, regolare e con picco serale"
143,1,"Consumo medio, regolare e con picco serale"
144,1,"Consumo medio, regolare e con picco serale"
145,1,"Consumo medio, regolare e con picco serale"
146,1,"Consumo medio, regolare e con picco serale"
147,5,Basso consumo e attività intermittente
148,1,"Consumo medio, regolare e con picco serale"
149,1,"Consumo medio, regolare e con picco serale"
150,1,"Consumo medio, regolare e con picco serale"
151,1,"Consumo medio, regolare e con picco serale"
152,1,"Consumo medio, regolare e con picco serale"
153,1,"Consumo medio, regolare e con picco serale"
154,1,"Consumo medio, regolare e con picco serale"
155,1,"Consumo medio, regolare e con picco serale"
156,1,"Consumo medio, regolare e con picco serale"
157,1,"Consumo medio, regolare e con picco serale"
158,1,"Consumo medio, regolare e con picco serale"
159,1,"Consumo medio, regolare e con picco serale"
160,1,"Consumo medio, regolare e con picco serale"
161,1,"Consumo medio, regolare e con picco serale"
162,1,"Consumo medio, regolare e con picco serale"
163,1,"Consumo medio, regolare e con picco serale"
164,1,"Consumo medio, regolare e con picco serale"
165,1,"Consumo medio, regolare e con picco serale"
